County,Total_Miles,Three Digit County Code_y_x,Three Digit County Code_y_y,Crime_Rate16,Crime_Rate17,Crime_Rate18,Crime_Rate19,Crime_Rate20,AVG_Crime_Rate,With Trans,Without Trans
Albany,"58,947,626 4,999,950 55,602,628 4,708,340 54,040,515 4,976,715 53,504,262 5,478,449 53,389,694 5,227,417 ",1,1,2847.860693,2853.672557,2719.349443,2626.725994,2366.221161,11520.85292,1,0
Allegany,0,3,3,1215.392134,1090.659753,989.5000648,993.1394969,3461.339762,4980.959401,0,1
Bronx,0,5,5,2551.399966,2465.839234,2468.379883,2485.920404,9837.205481,11938.98058,0,1
Broome,"7,297,643 7,195,868 7,028,557 6,249,954 3,585,649 ",7,7,2787.614031,2889.446586,2670.87014,2712.111441,10428.67281,13145.77676,1,0
Cattaraugus,0,9,9,1623.965719,1523.335795,1431.959139,1226.551227,4542.976558,6714.407191,0,1
Cayuga,0,11,11,1837.932455,1769.146397,1605.269641,1590.58208,6793.620816,8161.654735,0,1
Chautauqua,0,13,13,2573.660196,2173.269794,2081.307444,2207.902966,9199.652193,10876.07084,0,1
Chemung,0,15,15,2408.626243,1847.332744,1711.232492,1945.949835,7144.554832,9342.05228,0,1
Chenango,0,17,17,1998.965339,1494.502738,1500.989432,1659.821315,6649.724693,7984.223763,0,1
Clinton,0,19,19,1732.467307,1507.537688,1437.867989,1464.432532,5711.208246,7284.547166,0,1
Columbia,0,21,21,1376.622095,1606.645444,1490.342846,1208.41865,4703.58941,6622.746916,0,1
Cortland,0,23,23,1710.114703,2078.019819,1624.022967,1560.852141,7366.104809,8446.230591,0,1
Delaware,0,25,25,1478.006123,1153.991256,1306.471854,1239.967535,4188.8598,6016.208729,0,1
Dutchess,"2,933,439 0 3,247,100 0 4,191,390 4,858,260 2,680,908 ",27,27,1404.466586,1395.513642,1245.686046,1207.413909,5046.111838,6262.302551,1,0
Erie,"78,051,594 75,092,403 73,140,158 68,596,995 64,045,022 ",29,29,2809.164824,2541.827192,2489.181371,2280.006922,9102.150831,11940.61048,1,0
Essex,0,31,31,1053.190078,1119.373151,785.3332976,889.5017168,3338.594473,4515.117138,0,1
Franklin,0,33,33,1382.335089,1362.970007,1031.296572,1021.915293,5484.176217,5895.352204,0,1
Fulton,0,35,35,2203.456183,2021.74115,1759.421478,1897.40513,7186.257595,9319.27546,0,1
Genesee,0,37,37,2176.685509,1976.551152,1644.959919,1767.861497,5665.547715,8699.167621,0,1
Greene,0,39,39,1166.782502,1339.577664,1284.783021,1251.826905,4589.93136,5960.956364,0,1
Hamilton,0,41,41,1184.730145,804.109895,1033.011453,653.4474989,3602.897983,4395.878588,0,1
Herkimer,0,43,43,1773.072364,1868.37747,1300.194301,1274.528978,5986.132127,7413.399539,0,1
Jefferson,0,45,45,2101.871469,1992.281122,1796.625871,1705.964065,7042.434523,9005.229431,0,1
Kings,"17,464,177 4,893,198 17,966,636 4,945,545 17,875,468 4,123,830 3,851,730 65,570,465 888,168,117 31,702,817 1,902,225 ",47,47,1947.820406,1918.240242,1942.026784,1862.953586,7446.874609,9160.41594,1,0
Lewis,0,49,49,885.3541417,977.2231827,781.0436554,615.2911239,2242.118727,3707.335849,0,1
Livingston,0,51,51,1384.093856,1273.955561,1003.460754,954.0012402,3661.416049,5347.794622,0,1
Madison,0,53,53,1443.451964,1388.869325,1337.454341,1178.130511,5604.563632,6468.818868,0,1
Monroe,"53,131,680 0 54,325,977 0 50,345,826 0 46,649,235 0 47,602,711 0 0 0 0 ",55,55,2521.669018,2548.794396,2238.259484,2225.005218,8473.578662,11228.44385,1,0
Montgomery,0,57,57,2079.525608,1908.420218,1456.506808,1393.982373,6185.900024,8075.615012,0,1
Nassau,"150,113,199 482,109 142,962,144 590,668 126,842,031 577,723 136,184,970 574,543 83,766,799 523,658 ",59,59,1126.640498,1034.36335,985.9122764,987.1887428,3508.877512,4835.880369,1,0
New York,"1,553,770,171 158,465,369 54,624,590 2,522,415,696 123,750 369,132,750 4,479,822 155,687,450 1,450,951,265 58,472,429 427,858 2,270,934,422 347,110,002 17,622,377 158,586,769 1,472,423,041 56,084,904 479,073 2,154,521,183 381,346,415 16,650,254 153,389,117 1,478,429,570 57,076,245 488,542 2,034,489,613 377,941,829 0 13,374,216 79,024 671,661,254 202,709,642 0 8,361,268 ",61,61,2850.394172,2888.251629,3052.573737,3054.414376,11255.94732,14096.82338,1,0
Niagara,0,63,63,2904.681998,2654.200113,2105.563481,1990.332263,8964.291424,11447.63614,0,1
Oneida,0,65,65,2271.109336,2079.311244,2027.624863,1997.02068,7690.683899,9913.202904,0,1
Onondaga,"40,108,345 0 0 35,437,181 0 0 33,908,580 33,222,131 29,228,548 ",67,67,2394.972196,2358.593721,2153.976055,2151.799857,8379.991438,10735.34012,1,0
Ontario,0,69,69,1706.478399,1480.137161,1329.550208,1338.376491,5384.307624,6931.403785,0,1
Orange,0,71,71,1934.66951,1778.644682,1554.610092,1365.112352,4833.026846,7599.642006,0,1
Orleans,0,73,73,1814.877635,1871.860835,1473.911762,1204.431117,4600.550281,7285.191406,0,1
Oswego,0,75,75,1946.058685,1671.676066,1729.918312,1617.151556,6126.356094,8190.075837,0,1
Otsego,0,77,77,1295.418641,1224.251522,1201.778432,1051.443207,4353.769394,5643.645681,0,1
Putnam,"1,063,314 919,317 834,327 840,457 369,112 ",79,79,610.6143611,634.9784128,507.7322976,382.6983789,1630.011877,2462.025826,1,0
Queens,"2,154,354,158 2,996,872,220 3,405,961,936 3,929,859,957 1,229,284,540 ",81,81,1465.583291,1431.667296,1456.300439,1441.16397,6226.823598,7040.079715,1,0
Rensselaer,0,83,83,2296.137743,2209.604683,1941.023004,2017.222184,7909.141687,10045.81595,0,1
Richmond,0,85,85,1331.40712,1254.468611,1204.118935,1005.794502,4068.204144,5609.429996,0,1
Rockland,"18,985,669 25,284,803 0 0 0 18,003,634 25,127,727 0 0 0 15,594,160 25,869,858 0 0 0 11,836,174 25,363,296 0 0 7,256,807 15,217,978 0 0 ",87,87,1101.998261,1048.983364,986.6239222,883.0955533,3239.450357,4668.591172,1,0
Saratoga,0,91,91,1252.701495,1218.852752,1134.156357,1008.992532,3782.951262,5371.293389,0,1
Schenectady,0,93,93,3032.89248,2973.835932,2971.017292,2541.98061,9750.665882,13469.85949,0,1
Schoharie,0,95,95,1226.131937,1004.478567,1026.233083,756.7950535,4239.569314,4861.552503,0,1
Schuyler,0,97,97,656.4307966,390.8431044,336.2851698,370.5367168,1095.094424,1973.114672,0,1
Seneca,0,99,99,1851.691865,1665.062841,1359.512209,1286.963643,5181.285858,7199.48773,0,1
St. Lawrence,0,89,89,1588.040838,1390.11474,1290.839737,1033.721211,4169.393116,6136.595148,0,1
Steuben,0,101,101,1573.601444,1315.639299,1087.86349,948.3048003,3688.664729,5663.141979,0,1
Suffolk,"32,954,728 76,263,570 644,489 30,606,878 74,329,400 586,655 27,882,104 73,791,820 502,809 26,180,648 74,435,077 15,922,070 23,671,377 268,357 ",103,103,1553.239761,1446.360915,1280.26176,1230.717197,4756.999056,6461.979444,1,0
Sullivan,0,105,105,1640.569728,1709.333333,1589.259893,1347.434184,4333.507114,7153.29856,0,1
Tioga,0,107,107,947.6441934,930.9685772,818.3036174,821.218971,3566.195439,4231.374447,0,1
Tompkins,"10,179,113 10,085,839 11,554,814 11,737,736 4,400,847 ",109,109,1899.225559,1914.709289,1875.329648,1829.93204,8046.150936,9128.426722,1,0
Ulster,"41,597,934 4,108,254 0 41,243,072 3,639,455 0 41,046,163 3,600,877 0 38,171,250 1,683,618 10,563,655 ",111,111,1476.723729,1439.686538,1267.155902,1188.087651,4168.247631,6205.303345,1,0
Warren,0,113,113,1861.294072,1675.309754,1482.82998,1139.418568,4514.961133,7061.844601,0,1
Washington,0,115,115,962.5962596,878.2467532,749.9796201,562.3855611,2388.176568,3630.843508,0,1
Wayne,0,117,117,1786.992282,1653.230711,1645.766286,1363.899528,5880.613039,7626.011414,0,1
Westchester,"143,792,577 124,225,106 118,800,235 114,898,810 67,733,951 ",119,119,1292.478523,1193.77382,1016.174576,997.8656991,4104.506216,5321.193862,1,0
Wyoming,0,121,121,808.4054388,858.6460195,831.0871518,644.789001,3000.172707,3742.962153,0,1
Yates,0,123,123,1275.917065,1035.13049,981.6098401,750.9436993,3568.257044,4757.252504,0,1
